Pelipper | PepperBird
Amoonguss | Imposter
Palafin | Finn Fury
Flutter Mane | Magis
Amoonguss | Irmao
Palafin | Manual
Ting-Lu | Ting-Ling
Murkrow | Matsuemon
Chi-Yu | Tanjiro
Gholdengo | Zenitsu
Great Tusk | Inosuke
Umbreon | Sasuke
Umbreon | Sasuke
Baxcalibur | Taylor
Tsareena | Pierce
Palafin | Nixon
Gastrodon | Silly
Chi-Yu | Guppy
Scizor | Bullet Punch
Iron Valiant | Cutthroat
Arcanine | Falcon Punch
Palafin | Totsugeki
Baxcalibur | Foot Dive
Amoonguss | Imposter
Arcanine | Fun Police
Flutter Mane | Timeline
Kingambit | Magnus
Arcanine | Good Boy
Flutter Mane | Misdreavous
Iron Bundle | Ho ho ho
Chien-Pao | Weavile 2.0
Maushold | Procuro Alguém
Annihilape | Fantasmas
Chien-Pao | Olho de Tigre
Dragonite | 1010
Amoonguss | Amoongsus
Ting-Lu | No risk - No win
Arcanine | Sugar
Tatsugiri | Bako Kuri
Dondozo | El Gran Pez
Baxcalibur | Westopolis
Lucario | Goku
Amoonguss | venter
Gastrodon | squeeky toy
Blissey | bussy
Amoonguss | Char!zard
Maushold | Charizard ky&s
Gholdengo | heybrothahowsitgon
Great Tusk | Grimace
Flutter Mane | McFlutty
Salamence | Hamburglar
Arcanine | Charlie
Amoonguss | Frank
Flutter Mane | Sweet Dee
Palafin | Mac
Chi-Yu | Nemo
Dachsbun | Gardenia
Flutter Mane | BB
Baxcalibur | Kiryu
Dragonite | Zoup
Iron Hands | 45 Okay
Iron Bundle | Santa
Sableye | Nabbit
Naclstack | Terracotta
Tatsugiri | Kimchi
Flutter Mane | Feelin U?
Amoonguss | Imposter
Chi-Yu | Nemo
Flutter Mane | BB
Baxcalibur | Kiryu
Rotom | Hanabishi
Tyranitar | Landorus Apologist
Glimmora | Amongus Hater
Chi-Yu | Feesh
Flutter Mane | Gen 9 Incin
Palafin | Delfino Curioso
Flutter Mane | Rennala
Arcanine | Uncle Maliketh
Gholdengo | Goldone
Arcanine | Sabueso de Lava
Dragonite | Droganite
Palafin | Deku
Flutter Mane | BB
Baxcalibur | Kiryu
Amoonguss | Red Sus
Rotom | Hanabishi
Annihilape | Ape 2.0
Flutter Mane | Mane 2.0
Chi-Yu | Nemo
Dachsbun | Gardenia
Flutter Mane | BB
Rotom | Hanabishi
Chien-Pao | Master P
Flutter Mane | Twice
Garchomp | Vorkath
Flutter Mane | Flutter
Murkrow | Buss
Palafin | Pala
Amoonguss | Spore guy
Lucario | Goku
Amoonguss | venter
Gastrodon | squeeky toy
Blissey | bussy
Gastrodon | Gastro
Chi-Yu | Nemo
Dachsbun | Gardenia
Flutter Mane | BB
Rotom | Hanabishi
Dragonite | Covid (+)
Iron Bundle | Ho ho ho
Chien-Pao | Weavile 2.0
Iron Hands | Iron Handjob
Flutter Mane | Itachi Rin
Chi-Yu | Feesh
Flutter Mane | Gen 9 Incin
Dragonite | Dragontales
Dondozo | Leo
Grimmsnarl | Jack
Corviknight | Crow
Tatsugiri | Luna
Lucario | Goku
Amoonguss | venter
Gastrodon | squeeky toy
Blissey | bussy
Murkrow | Buss
Palafin | Pala
Amoonguss | Droop
Iron Hands | Grabby Gabby
Clawitzer | Eugene Krabs
Hatterene | Pearl
Iron Hands | CPU Wife
Tsareena | Mindy
Umbreon | Sasuke
Amoonguss | Char!zard
Roaring Moon | Charizaza
Maushold | Charizard ky&s
Gholdengo | heybrothahowsitgon
Murkrow | Buss
Palafin | Pala
Amoonguss | Spore guy
Chi-Yu | Nemo
Dachsbun | Gardenia
Rotom | Hanabishi
Amoonguss | Amogus ඞ
Iron Hands | Ferrochaquetas
Chi-Yu | Nemo
Dachsbun | Gardenia
Flutter Mane | BB
Rotom | Hanabishi
Umbreon | Sasuke
Iron Hands | Iron Bands
Falinks | Phalanx
Flamigo | Graciavian
Electrode | That Guy
Chi-Yu | Ta-Da!
Flutter Mane | Scarlett
Iron Bundle | Hot Pants
Gyarados | The World
Dondozo | joe
Tatsugiri | Elieel
Ting-Lu | Big Kabu
Corviknight | Koozer
Murkrow | Wednesday
Palafin | Almight
Indeedee | Rem
Armarouge | AstroBoy
Chi-Yu | Nemo
Dachsbun | Gardenia
Flutter Mane | BB
Rotom | Hanabishi
Chi-Yu | Nemo
Dachsbun | Gardenia
Rotom | Hanabishi
Flutter Mane | Santiago
Iron Bundle | Boyle
Corviknight | Captain Holt
Wo-Chien | Sludge
Florges | Labrys
Flutter Mane | Bellina
Maushold | The Squeaks
Chien-Pao | Bundle
Dragapult | Dnite
Amoonguss | WoChien
Flutter Mane | Mimi
Flutter Mane | Itachi Rin
Riolu | Minner
Rotom | WASHING MACHINE
Garchomp | G-Girl
Murkrow | ourple bdir
Flutter Mane | Mutter Flane
Mimikyu | evil doll
Flutter Mane | BB
Baxcalibur | Kiryu
Amoonguss | Red Sus
Rotom | Hanabishi
Annihilape | Psi Mu Signma
Arcanine | Slif's Woof
Palafin | Doll-Pugno
Chi-Yu | Nemo
Flutter Mane | BB
Amoonguss | Red Sus
Rotom | Hanabishi
Arcanine | Falcon Punch
Flutter Mane | Soul Fist
Palafin | Totsugeki
Baxcalibur | Foot Dive
Ceruledge | Mòrag
Flutter Mane | Nightmare
Iron Valiant | Sentinel
Azumarill | the rabbit
Garchomp | G-Girl
Flutter Mane | Mutter Flane
Maushold | THE RATS
Annihilape | Psi Mu Signma
Arcanine | Slif's Woof
Palafin | Doll-Pugno
Amoonguss | Puff Puff
Chi-Yu | Nemo
Dachsbun | Gardenia
Flutter Mane | BB
Rotom | Hanabishi
Gholdengo | Bank Account
Amoonguss | Cappy
Iron Bundle | Pengy
Palafin | Capsule J
Arcanine | Awoofy
Annihilape | Psi Mu Signma
Flutter Mane | Farter Man
Palafin | Doll-Pugno
Amoonguss | Puff Puff
Chi-Yu | Nemo
Dachsbun | Gardenia
Flutter Mane | BB
Rotom | Hanabishi
Chi-Yu | Nemo
Dachsbun | Gardenia
Amoonguss | Red Sus
Rotom | Hanabishi
Flutter Mane | BB
Baxcalibur | Kiryu
Amoonguss | Red Sus
Rotom | Hanabishi
Chi-Yu | Nemo
Dachsbun | Gardenia
Flutter Mane | BB
Rotom | Hanabishi
Chi-Yu | Nemo
Dachsbun | Gardenia
Flutter Mane | BB
Amoonguss | Red Sus
Iron Hands | Maradona
Dragonite | ShiningArmor
Pelipper | Beaker
Palafin | Turqoise
Rotom | Mr. Rotom
Chi-Yu | Nemo
Dachsbun | Gardenia
Flutter Mane | BB
Rotom | Hanabishi
Talonflame | 烈箭鷹
Garchomp | 烈咬陸鯊
Flutter Mane | 振翼髮
Amoonguss | 敗露球菇
Rotom | Mr. Rotom
Chi-Yu | Nemo
Dachsbun | Gardenia
Flutter Mane | BB
Amoonguss | Red Sus
Chi-Yu | Nemo
Flutter Mane | BB
Baxcalibur | Kiryu
Rotom | Hanabishi
Chi-Yu | Nemo
Dachsbun | Gardenia
Flutter Mane | BB
Rotom | Hanabishi
Chi-Yu | Nemo
Dachsbun | Gardenia
Flutter Mane | BB
Amoonguss | Red Sus
Arcanine | Nugget
Palafin | PalaWIN
Dragonite | My man
Sylveon | Ribbons
Chi-Yu | Darwin
Murkrow | Tweakers
Great Tusk | Manny
Chi-Yu | Nemo
Dachsbun | Gardenia
Flutter Mane | BB
Amoonguss | Red Sus
Amoonguss | Amogus
Arcanine | Nugget
Palafin | PalaWIN
Glimmora | beyblade
Corviknight | steel birb
Iron Hands | better incin
Annihilape | BananaCream Pie
Iron Bundle | Blueberry Pie
Arcanine | Pumpkin Pie
Dragonite | Pecan Pie
Wo-Chien | Live Reaction
Arcanine | Nugget
Palafin | PalaWIN
Wigglytuff | 위텊
Stantler | 노락희
Indeedee | 에써요
Iron Hands | Bishop
Farigiraf | Enchantress
Amoonguss | Hazmat
Gyarados | Omega Red
Wo-Chien | Flora
Chi-Yu | Sam
Gastrodon | Mipha
Chien-Pao | Tara
Great Tusk | Tasconi
Iron Bundle | Bando
Brute Bonnet | Tu quoque
Flutter Mane | Occhialoni
Breloom | Tattisaurus
Chien-Pao | Nivalis
Flutter Mane | Bottas
Chi-Yu | Hanako
Garchomp | Tiburoncio
Talonflame | Pájaro Asado
Gyarados | Snakey
Hawlucha | Luca
Iron Bundle | Fake Fågel
Ting-Lu | Ling Ting Long
Arcanine | K9
Palafin | Cecil
Flutter Mane | Zalera
Garganacl | Tyrrells
Naclstack | Kettle
Ting-Lu | Miss-Lu
Naclstack | Kettle
Nacli | Smiths
Ting-Lu | Miss-Lu
Breloom | Doge
Pelipper | Cocao
Maushold | Sorse
Arcanine | 小咆哮虎
Chien-Pao | 芝士雪豹
Flutter Mane | 发姐
Ting-Lu | 地裂4/5
Amoonguss | Lupin
Palafin | Ispanico
Flutter Mane | Mithrandir
Dragonite | Yoshi
Toxapex | MARE CACTUS
Arcanine | Johnny barkini
Flutter Mane | Frutta n'mano
Arcanine | Windy
Arcanine | Windy
Grimmsnarl | Cemento
Annihilape | macaco
Gastrodon | mario
Flutter Mane | MASSA
Grimmsnarl | Grimmsnal
Palafin | Dozo
Chien-Pao | Bundle
Dragapult | Dnite
Flutter Mane | Mimi
Baxcalibur | BorseCalibro
Amoonguss | TraDiNoi
Iron Hands | FineFerrea
Gyarados | GiaraDue
Dondozo | Accepting
Tatsugiri | OTS
Chien-Pao | C'E' PAOLO
Garchomp | El Sdrumador
Talonflame | Pino
Baxcalibur | BorseCalibro
Amoonguss | TraDiNoi
Iron Hands | FineFerrea
Gyarados | GiaraDue
Meowscarada | Gnappola
Chien-Pao | C'E' PAOLO
Garchomp | El Sdrumador
Talonflame | Pino
Amoonguss | Kikoken
Arcanine | Falcon Punch
Palafin | Totsugeki
Baxcalibur | Foot Dive
Iron Jugulis | Hydráulica
Great Tusk | Colmillote
Gholdengo | Ganga
Glimmora | Perniciosa
Grimmsnarl | Unit-01
Iron Valiant | Sailor Uranus
Lokix | Zero-One
Volcarona | Utsuho
Arcanine | ChiYu
Flutter Mane | Mimi
Iron Valiant | Sailor Uranus
Oricorio | Tae Yamada
Dragalge | Elma
Lokix | Zero-One
Houndstone | Dragula
Chi-Yu | B.H. Sun
Tyranitar | Godzilla
Gastrodon | Soft&Wet
Murkrow | C'mon C'mon
Houndstone | Dragula
Tyranitar | Godzilla
Chi-Yu | Cool... Goldfish?
Flutter Mane | Deadly Fairy
Dachsbun | Cinnamon
Baxcalibur | Baxcalibrrrrrrr
Murkrow | C'mon C'mon
Chi-Yu | B.H. Sun
Corviknight | Mr. Jones
Bellibolt | Solo
Mimikyu | Pretty Sweet
Chi-Yu | Nights
Corviknight | Skyline To
Flutter Mane | Natatat°
Dragonite | Metabar∅n
Chien-Pao | P∅pe
Houndstone | Dragula
Chi-Yu | B.H. Sun
Tyranitar | Godzilla
Corviknight | Mr. Jones
Gastrodon | Self Control
Mimikyu | Pretty Sweet
Chi-Yu | Nights
Corviknight | Skyline To
Iron Bundle | テツノツツミ
Amoonguss | Amogus
Arcanine | Nugget
Palafin | PalaWIN
Iron Jugulis | IsThatABird?
Flutter Mane | Myrtle
Ceruledge | Grim Shady
Meowscarada | Lilium
Salamence | Salami
Arcanine | Hasan
Gastrodon | Slimecicle
Sylveon | Pokimaine
Corviknight | Ben Shapiro
Indeedee | Inseedee
Armarouge | Hut
Hariyama | 30
Hatterene | Dewtree
Chi-Yu | LOVE BETRAYAL
Iron Bundle | bundle of bitches
Iron Hands | catch these hands
Torkoal | GroudonJr
Kingambit | IfOmlyYveltal
Dachsbun | PresserOfBodies
Flutter Mane | SuperSpecs
Dragapult | Dnite
Amoonguss | WoChien
Flutter Mane | Mimi
Scream Tail | Persephone
Ceruledge | Grim Shady
Salamence | Salami
Ting-Lu | Bowlhead
Arcanine | Incincanine
Flutter Mane | Mischief
Annihilape | Ape 2.0
Flutter Mane | Mane 2.0
Flutter Mane | flutter ya mane
Iron Bundle | bundle of bitches
Amoonguss | AMOGUS
Iron Hands | catch these hands
Gastrodon | Self Control
Iron Treads | White Ferrari
Mimikyu | Pretty Sweet
Corviknight | Skyline To
Flutter Mane | Santiago
Arcanine | Cheddar
Great Tusk | Scully
Corviknight | Captain Holt
Torkoal | GroudonJr
Kingambit | IfOmlyYveltal
Dachsbun | PresserOfBodies
Flutter Mane | SuperSpecs
Flutter Mane | Yoda
Wo-Chien | Jabba The Hutt
Gholdengo | C3-P0
Grafaiai | Sia
Slaking | JVKE
Dragonite | Bruno Mars
Drifblim | IT’S DRIFT’N TIME!
Tinkaton | MC HAMMER
Scovillain | Psychograss
Iron Hands | Maradona
Pelipper | Beaker
Palafin | Turqoise
Baxcalibur | BlockBuster
Abomasnow | I will
Iron Bundle | Not be
Gastrodon | Silly
Chi-Yu | Guppy
Scizor | Bullet Punch
Iron Valiant | Cutthroat
Iron Hands | Manoalegre
Glimmora | GurrenLagan
Arcanine | Windy
Amoonguss | 从不睡人
Arcanine | 小咆哮虎
Flutter Mane | 发姐
Torkoal | Breakthrough
Flutter Mane | FANCY
Kingambit | HOT
Great Tusk | Trouble
Amoonguss | WoChien
Flutter Mane | Gucci Mane
Arcanine | Noah’s Ark
Amoonguss | Among who?
Annihilape | Monkey Business
Iron Bundle | Happy Holidays
Dachsbun | doggomartinez
Chi-Yu | nemochad
Flutter Mane | cochina
Ting-Lu | SumTingWong
Chien-Pao | Saberfang
Torkoal | Arizona
Indeedee | Nevada
Hatterene | New Mexico
Corviknight | Okalahoma
Flutter Mane | Utah
Indeedee | Nevada
Hatterene | New Mexico
Corviknight | Okalahoma
Iron Bundle | Alfredo
Amoonguss | Amogus
Chien-Pao | Ice Fang
Talonflame | Pontiac
Ceruledge | Ken
Amoonguss | Seiko
Flutter Mane | Turbo Babaa
Rotom | Momo
Torkoal | Arizona
Indeedee | Nevada
Corviknight | Okalahoma
Mudsdale | Texas
Amoonguss | Not Amoonguss
Dudunsparce | a favore di cristo
Gyarados | para flinch
Dragonite | incubo
Iron Hands | comp tocci
Arcanine | Doggo
Amoonguss | Impostor
Flutter Mane | Utah
Indeedee | Nevada
Hatterene | New Mexico
Corviknight | Okalahoma
Dudunsparce | Dun-Dun-Dun
Armarouge | Proto Man
Murkrow | One-Crow Murder
Flutter Mane | Flutta Mane
Chien-Pao | Astrumy
Palafin | Above
Dragapult | RulingWillB
Amoonguss | Whynus
Chi-Yu | Liyuu
Iron Bundle | 包袱包袱
Flutter Mane | Yoda
Wo-Chien | Jabba The Hutt
Arcanine | AT-AT
Palafin | The Force
Lilligant | Billie Jean
Great Tusk | Thick Tusk
Torkoal | Vesuvius
Chien-Pao | Narf
Glimmora | Poisoning MVP
Palafin | All-might
Arcanine | Pupper
Palafin | Flipper
Flutter Mane | Trix
Chien-Pao | Poes
Flutter Mane | Cool Spook
Iron Bundle | Pengy
Arcanine | Awoofy
Iron Hands | Boxin
Chien-Pao | Bundle
Dragapult | Dnite
Amoonguss | WoChien
Arcanine | ChiYu
Lucario | Vox
Palafin | Flipper
Flutter Mane | Trix
Flutter Mane | Yoda
Gholdengo | C3-P0
Flutter Mane | Cool Spook
Iron Bundle | Pengy
Arcanine | Awoofy
Iron Hands | Boxin
Flutter Mane | Cool Spook
Palafin | Capsule J
Arcanine | Awoofy
Iron Hands | Boxin
Oricorio | JUST DANCE!
Volcarona | Huge moth
Arcanine | ChiYu
Amoonguss | WoChien
Baxcalibur | Gojira
Maushold | Ramune
Bellibolt | fatty
Garganacl | salty stall
Flutter Mane | Clown
Torkoal | kame
Flutter Mane | krixi
Great Tusk | kem
Meowscarada | Ame
Lilligant | TT
Torkoal | Breakthrough
Kingambit | HOT
Dragonite | Espresso
Chi-Yu | Liyuu
Iron Bundle | 包袱包袱
Ting-Lu | Father Help
Amoonguss | Friend
Bronzong | dong
Sylveon | Ribbons
Chi-Yu | Darwin
Murkrow | Tweakers
Great Tusk | Manny
Lilligant | TT
Torkoal | Breakthrough
Flutter Mane | FANCY
Kingambit | HOT
Amoonguss | Droop
Kingambit | Shirohige
Lilligant | TT
Torkoal | Breakthrough
Kingambit | HOT
Dragonite | Espresso
Eiscue | DanoninhoIce
Beartic | Malvadao
Iron Bundle | MrRobot
Bellibolt | Nhonho
Ting-Lu | Bowl Boy
Flutter Mane | Melameneo
Chi-Yu | Overheat
Flutter Mane | Meta 2
Annihilape | Meta 4
Torkoal | Meta 5
Tyranitar | Ttar
Eiscue | DanoninhoIce
Blissey | Nancy
Abomasnow | Abominavel
Iron Bundle | MrRobot
Talonflame | Rodan
Baxcalibur | T. Gojira
Corviknight | Gigan
Flutter Mane | Shobijin
Flutter Mane | Melameneo
Polteageist | Mrs. Potts
Indeedee | Carlotta
Armarouge | King's Guard
Gastrodon | Squishy
Eiscue | DanoninhoIce
Bellibolt | Nhonho
Maushold | The Millers
Ceruledge | Grim Shady
Salamence | Salami
Chi-Yu | Darwin
Murkrow | Tweakers
Gholdengo | Nickel
Iron Hands | Sumo
Polteageist | Mrs. Potts
Indeedee | Carlotta
Gastrodon | Squishy
Flutter Mane | The
Amoonguss | bogus man
Chi-Yu | dumb
Ting-Lu | uh
Chi-Yu | Overheat
Palafin | Psych
Chien-Pao | Sid
Chi-Yu | Jaws
Talonflame | Hawk
Scizor | Scissors
Flutter Mane | Misdreavus v2
Chien-Pao | Ice Weasel
Azumarill | Jessica
Clawitzer | Seu Siriguejo
Meowscarada | Zorra
Sylveon | Bruno Bucharachi
Tyranitar | Ttar
Amoonguss | Amoongsus
Chi-Yu | Overheat
Arcanine | Douglas
Palafin | Port Erin
Flutter Mane | Ballasalla
Iron Hands | Ramsey
Flutter Mane | Cover Girl
Talonflame | Worldwide
Farigiraf | Honey
Garchomp | LoveMeLoveMe
Farigiraf | Giraffe
Iron Hands | BUS
Arcanine | Douglas
Palafin | Port Erin
Amoonguss | Peel
Flutter Mane | Ballasalla
Flutter Mane | SilviaCharro
Ceruledge | El Jose
Gastrodon | MLAK
Corviknight | Silver
Camerupt | Crack
Dachsbun | Beef
Ting-Lu | BMT
Flutter Mane | G
Arcanine | Cricket
Garganacl | The Small Rock
Ting-Lu | EWGF
Amoonguss | Kikoken
Arcanine | Falcon Punch
Flutter Mane | Soul Fist
Amoonguss | Kikoken
Arcanine | Falcon Punch
Flutter Mane | Soul Fist
Palafin | Totsugeki
Lurantis | Am I cooking?
Torkoal | Cooking Koal
Iron Hands | Cooking Hands
Flutter Mane | Cooking Mane
Arcanine | Charlie
Amoonguss | Frank
Flutter Mane | Sweet Dee
Palafin | Mac
Iron Bundle | Delibundle
Iron Valiant | Galiant
Hatterene | Clarita
Torkoal | Cubero
Oranguru | Paco fiestas
Torkoal | Cooking Koal
Iron Hands | Cooking Hands
Flutter Mane | Cooking Mane
Glimmora | Geeta
Scizor | Emboar Jr.
Garchomp | Bodacious Bill
Corviknight | Skunt Funtster
Amoonguss | IDK's on third
Flutter Mane | Sasha Colby
Gyarados | Bianca
Baxcalibur | Katya
Garchomp | tubarão
Flutter Mane | isabela
Chien-Pao | onça pintada
Volcarona | bruxo
Lurantis | Am I cooking?
Torkoal | Cooking Koal
Iron Hands | Cooking Hands
Flutter Mane | Cooking Mane
Chien-Pao | Bundle
Ting-Lu | Wickie moment
Iron Bundle | Delіbird
Chi-Yu | Incinerator
Dachsbun | Harbinger
Dondozo | Big Bertha
Tatsugiri | Bulkward
Pelipper | Monsoon
Toedscruel | Weirdo
Mimikyu | Anabelly
Iron Hands | Hiner
Sylveon | Bruno Bucharachi
Arcanine | Sou é DIOOO
Dondozo | Catfish Sandwich
Chien-Pao | Go To A Dentist
Torkoal | Cooking Koal
Iron Hands | Cooking Hands
Flutter Mane | Cooking Mane
Dondozo | Masak Ikan
Flutter Mane | Sasha Colby
Iron Hands | Anything (Viva!)
Indeedee | (Not)Eve
Armarouge | Этажи-Судно
Torkoal | Hammer Fall
Goodra | xXTRICKSHOTXx
Grimmsnarl | Harry
Corviknight | Friend
Wo-Chien | The Observer
Iron Bundle | Delіbird
Lurantis | Am I cooking?
Torkoal | Cooking Koal
Iron Hands | Cooking Hands
Flutter Mane | Cooking Mane
Talonflame | Adeyemi
Chi-Yu | Darwin
Murkrow | Tweakers
Great Tusk | Manny
Dondozo | Big Bertha
Tatsugiri | Bulkward
Annihilape | Hoo fung poo
Maushold | Mausmellows
Ting-Lu | Wu-Tang Clan
Dragonite | Bee Gees
Ting-Lu | Wu-Tang Clan
Flutter Mane | elton john
Tyranitar | Noms
Glimmora | Bubbles
Garchomp | Chomps
Corviknight | Squab
Sylveon | Ribbons
Chi-Yu | Darwin
Great Tusk | Manny
Gholdengo | Nickel
Flutter Mane | elton john
Dragonite | Bee Gees
Tyranitar | Noms
Glimmora | Bubbles
Garchomp | Chomps
Arcanine | Fluffy
Dachsbun | dog
Chi-Yu | le fishe
Flutter Mane | spooky
Azumarill | Marilland
Iron Hands | Luca Proda
Pelipper | El Lluvias
Palafin | Flipper
Chi-Yu | Incinerator
Dachsbun | Harbinger
Flutter Mane | Reaper
Arboliva | Majaré
Iron Hands | Manoalegre
Scizor | El Pana
Iron Hands | El Cigala
Ting-Lu | Wickie moment
Dondozo | Big Bertha
Tatsugiri | Bulkward
Pelipper | Monsoon
Toedscruel | Weirdo
Iron Hands | ferropalmas
Pelipper | Birdboi
Meowscarada | Cheshire
Magnezone | Neodynium
Chien-Pao | Cat with no Hat
Sylveon | Beep Boop
Ting-Lu | Erm kinda cringe
Garganacl | Erm Turbo Cringe
Wo-Chien | True Alex YIIK
Chien-Pao | Bundle
Amoonguss | mogus
Maushold | The Millers
Arboliva | Rhea
Ceruledge | Grim Shady
Salamence | Salami
Palafin | NovemberRain
Arcanine | Auggie
Flutter Mane | Wonder of U
Dragonite | Dragona
Palafin | NovemberRain
Kingambit | King Crimson
Flutter Mane | Wonder of U
Dragonite | Dragona
Flutter Mane | Flutter
Kingambit | King
Great Tusk | Tusk
Flutter Mane | Gucci Mane
Kingambit | SamuraiJack
Amoonguss | Among who?
Iron Jugulis | Iron juggs
Amoonguss | Toad
Palafin | AllMight
Maushold | The Millers
Flutter Mane | Myrtle
Ceruledge | Grim Shady
Salamence | Salami
Ting-Lu | Wickie moment
Amoonguss | Amoongsus
Tyranitar | Strength
Iron Bundle | Pingu
Iron Hands | Cinquina
Garchomp | De Sica
Chien-Pao | Er Pantera
Palafin | NovemberRain
Arcanine | Auggie
Amoonguss | amogus
Dragonite | Dragona
Talonflame | Tordo
Iron Hands | Cinquina
Garchomp | De Sica
Chien-Pao | Er Pantera
Flutter Mane | Floot
Flutter Mane | Itachi Rin
Dondozo | Big Bertha
Tatsugiri | Bulkward
Pelipper | Monsoon
Arcanine | Meow
Palafin | Uwu
Chien-Pao | OP FR
Dondozo | Big Bertha
Tatsugiri | Bulkward
Pelipper | Monsoon
Toedscruel | Weirdo
Grimmsnarl | Tricky Rick
Iron Bundle | King-3D
Volcarona | Fire Fly
Mimikyu | Remy
Arcanine | Good Boi
Gyarados | Mushu
Annihilape | Caesar
Maushold | Selahn
Chi-Yu | Incinerator
Dachsbun | Harbinger
Dragonite | Omen
Azumarill | Annihilator
Iron Valiant | Casshan
Dondozo | Gen3WaterLegendary
Arcanine | Windy
Wo-Chien | NeverGiveUp
Arcanine | SaròConTe
Palafin | La Paraffina
Arcanine | Windy
Iron Valiant | Casshan
Brute Bonnet | BB
Iron Bundle | Happy Happy
Maushold | THE RATS
Flutter Mane | Mutter Flane
Toedscruel | Weirdo
Annihilape | Hoo fung poo
Maushold | Mausmellows
Baxcalibur | BaaaWhAANG
Torkoal | Breakthrough
Kingambit | HOT
Dragonite | Espresso
Maushold | The Millers
Flutter Mane | Myrtle
Scream Tail | Persephone
Arboliva | Rhea
Scream Tail | Persephone
Arboliva | Rhea
Ceruledge | Grim Shady
Salamence | Salami
Scream Tail | Persephone
Arboliva | Rhea
Ceruledge | Grim Shady
Salamence | Salami
Maushold | The Millers
Flutter Mane | Myrtle
Ceruledge | Grim Shady
Salamence | Salami
Dondozo | Big Bertha
Tatsugiri | Bulkward
Pelipper | Monsoon
Maushold | Jerries
Roaring Moon | Silent Sun
Chien-Pao | Tom
Annihilape | Destructionape
Dondozo | Big Bertha
Tatsugiri | Bulkward
Pelipper | Monsoon
Toedscruel | Weirdo
Maushold | The Millers
Flutter Mane | Myrtle
Ceruledge | Grim Shady
Salamence | Salami
Sableye | Gengar
Slither Wing | Combat Wings
Bombirdier | Eleanor
Corviknight | Royal Knight
Dachsbun | Rocky
Dondozo | Big Bertha
Tatsugiri | Bulkward
Pelipper | Monsoon
Toedscruel | Weirdo
Torkoal | Tortoe
Indeedee | GG
Armarouge | Yella
Annihilape | Baghoul
Misdreavus | Mega Flutter Mane
Ting-Lu | EWGF
Amoonguss | Kikoken
Flutter Mane | Soul Fist
Palafin | Totsugeki
Amoonguss | Kikoken
Arcanine | Falcon Punch
Flutter Mane | Soul Fist
Palafin | Totsugeki
Annihilape | Hoo fung poo
Maushold | Mausmellows
Naclstack | Terracotta
Dragonite | peppino
Flutter Mane | die
Amoonguss | Imposter
Sunflora | Sunny Bono
Torkoal | NatKing Koal
Hatterene | Irene Cara
Torkoal | Shuckel
Scovillain | Girlboss
Sylveon | Nucleon
Kingambit | Noraline
Chien-Pao | PaoGasol
Gallade | GalladeyGaga
Arcanine | SnarlsBarkley
Flutter Mane | GucciMane
Dragonite | Kulkulcan
Dragonite | NormalOsborn
Chien-Pao | PaoGasol
Gallade | GalladeyGaga
Arcanine | SnarlsBarkley
Torkoal | Shuckel
Scovillain | Girlboss
Dragonite | Michael
Tyranitar | Fall
Flutter Mane | Cover Girl
Talonflame | Worldwide
Farigiraf | Honey
Gholdengo | GoNoodle
Glimmora | Glory Hole
Ceruledge | SICKO MODE
Iron Hands | Will Smith
Arcanine | Charlie
Amoonguss | Frank
Flutter Mane | Sweet Dee
Palafin | Mac
Lucario | Phew
Glimmora | You thought
Gyarados | ;(
Great Tusk | LandoT?
Dragonite | Comet
Houndoom | Skeletons
Amoonguss | Eternal
Indeedee | Jillaroo
Flutter Mane | Thongs
Armarouge | Jackaroo
Azumarill | Iced Vovo
Indeedee | Jillaroo
Flutter Mane | Thongs
Hawlucha | Footy
Azumarill | Iced Vovo
Great Tusk | LandoT?
Dragonite | Comet
Houndoom | Skeletons
Rotom | AK Point Disarray
Garganacl | Arby's
Arcanine | Doggo
Flutter Mane | Peaches
Sylveon | White Wafers
Annihilape | Psi Mu Signma
Flutter Mane | Farter Man
Arcanine | Slif's Woof
Palafin | Doll-Pugno
Ting-Lu | No risk - No win
Flutter Mane | Princesa Grumosa
Dragonite | Droganite
Orthworm | La Lombriz Feliz
Annihilape | Psi Mu Signma
Flutter Mane | Farter Man
Palafin | Doll-Pugno
Alomomola | 6
Arctibax | 3
Rufflet | 2
Swalot | 6
Alomomola | 5
Tandemaus | 4
Swalot | 6
Alomomola | 5
Swalot | 6
Numel | 5
Chi-Yu | Liyuu
Iron Bundle | 包袱包袱
Flutter Mane | A Bad Hair Day
Murkrow | Tweak or Tweet
Flutter Mane | Humumus
